area_peril_id,lon,lat,peril_id,coverage_type
699,114.37928,-8.204,QTS,1
700,114.37894,-8.20389,QTS,1
701,114.38014,-8.20246,QTS,1
702,114.38086,-8.20012,QTS,1
703,114.3804,-8.20198,QTS,1
704,114.38042,-8.20231,QTS,1
705,105.99462,-5.92974,QTS,1
706,105.99592,-5.93098,QTS,1
707,105.99575,-5.93094,QTS,1
708,105.9961,-5.93122,QTS,1
709,105.9989,-5.93324,QTS,1
710,105.99852,-5.95482,QTS,1
711,105.99874,-5.95502,QTS,1
712,105.99899,-5.95518,QTS,1
713,105.99933,-5.95519,QTS,1
714,114.38747,-8.22202,QTS,1
715,114.38747,-8.22238,QTS,1
716,114.38744,-8.22255,QTS,1
717,114.38,-8.20276,QTS,1
718,114.37994,-8.20292,QTS,1
719,114.37968,-8.20311,QTS,1
720,114.37972,-8.20345,QTS,1
721,114.37946,-8.20407,QTS,1
722,114.38023,-8.2026,QTS,1
723,114.38104,-8.20004,QTS,1
724,114.38099,-8.20041,QTS,1
725,114.38051,-8.20213,QTS,1
726,114.38052,-8.20249,QTS,1
727,114.38121,-8.19975,QTS,1
728,105.99355,-5.92853,QTS,1
729,105.99456,-5.9299,QTS,1
730,105.9947,-5.93001,QTS,1
731,105.9948,-5.93029,QTS,1
